"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalization"
"MS4A1",60.6970727361351,1.04816501517844,0.491559653554649,2.1323251564663,0.0329801253772827,0.999948353014247,"nCounter"
"KSHV_ORF52",33.4669326749457,-1.82258470967049,0.500515551375773,-3.64141474657627,0.000271143916601055,0.218813140697051,"nCounter"
"SPP1",390.557938463648,-1.37093038861852,0.634514593458901,-2.16059709697965,0.0307264758718909,0.999948353014247,"nCounter"
"HLA-DQB1",225.789333316131,-2.37375626086164,0.728576748445151,-3.25807303887676,0.00112171531528432,0.226306064858612,"nCounter"
"KSHV_vIRF-4",37.2240901497349,-1.43221706790249,0.535673530139441,-2.67367526547311,0.0075025061164961,0.729755092187211,"nCounter"
"MKI67",308.148450993325,-1.1492546155142,0.53737217834257,-2.13865671099473,0.0324634809396304,0.999948353014247,"nCounter"
"KSHV_K1",28.2080205914223,-1.29325878894993,0.557037455556728,-2.32167294326265,0.0202505529060633,0.999948353014247,"nCounter"
"KSHV_ORF36",59.1197471692563,-1.79461345797676,0.53560539910541,-3.35062615308621,0.000806290740853775,0.226306064858612,"nCounter"
"KSHV_K6",60.9478406536886,-1.41504336738045,0.621728513646098,-2.27598274218115,0.0228470425507221,0.999948353014247,"nCounter"
"KSHV_ORF50",66.9173707092599,-1.06211766432018,0.525513467199161,-2.02110455890115,0.0432689425308762,0.999948353014247,"nCounter"
"KSHV_vIRF-1",17.8938823033367,-1.15610492291075,0.491263646442496,-2.35332887194631,0.0186061699335053,0.999948353014247,"nCounter"
"S100A12",26.9895089475746,-0.883699650698759,0.439465044234486,-2.01085310946197,0.0443409744517188,0.999948353014247,"nCounter"
"IRF4",348.011003655742,1.21033611529462,0.599979084404971,2.0172971804425,0.0436645096946258,0.999948353014247,"nCounter"
"FCN1",161.261286550771,-0.945230240244257,0.480412936608848,-1.9675370253692,0.0491213317486202,0.999948353014247,"nCounter"
"LILRA3",105.167026712816,-1.5377456740143,0.638755576312253,-2.40740860986641,0.0160661827927108,0.997339193362895,"nCounter"
"KSHV_ORF63",42.2589810374796,-1.13452938597073,0.523230024124291,-2.16831858582569,0.0301344552859095,0.999948353014247,"nCounter"
